2026-02-05 12:20:45 INFO  searchSeleniumTest - Setting up the browser
2026-02-05 12:20:52 INFO  searchSeleniumTest - TEST: Serach Selenium Java in search bar
2026-02-05 12:20:53 INFO  HomePage           - PAGE: Searching for:Selenium Java
2026-02-05 12:20:58 INFO  SearchResultPage   - PAGE: filtering based on duration of course
2026-02-05 12:20:59 INFO  SearchResultPage   - PAGE: Printing the first course title in the console
2026-02-05 12:21:00 INFO  searchSeleniumTest - Closing the browser
2026-02-05 12:21:03 INFO  findLevelTest      - Setting up the browser
2026-02-05 12:21:08 INFO  findLevelTest      - TEST: Extracting the level of the first Python course
2026-02-05 12:21:08 INFO  HomePage           - PAGE: Selecting the first python course
2026-02-05 12:21:14 INFO  PythonPage         - PAGE: Switching tab after clicking first Python course
2026-02-05 12:21:14 INFO  PythonPage         - PAGE: Printing the level of the course in console
2026-02-05 12:21:20 INFO  findLevelTest      - Closing the browser
2026-02-05 12:21:25 INFO  FillFormTest       - Setting up the browser
2026-02-05 12:21:33 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-05 12:21:33 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-05 12:21:40 INFO  FillFormTest       - TEST: Click contact us
2026-02-05 12:21:40 INFO  UniversityPage     - PAGE: Clcik contactUs button
2026-02-05 12:21:44 INFO  FillFormTest       - TEST: fill the form
2026-02-05 12:21:44 INFO  FormPage           - PAGE: Filling the form
2026-02-05 12:21:46 INFO  FillFormTest       - TEST: Submit the form
2026-02-05 12:21:46 INFO  FormPage           - PAGE: Click submit button
2026-02-05 12:21:46 INFO  FormPage           - PAGE: Return the alert
2026-02-05 12:21:56 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-05 12:21:56 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-05 12:21:56 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-05 12:21:56 INFO  FillFormTest       - Closing the browser
2026-02-05 12:22:01 INFO  FillFormTest       - Setting up the browser
2026-02-05 12:22:06 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-05 12:22:06 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-05 12:22:21 INFO  FillFormTest       - TEST: Click contact us
2026-02-05 12:22:21 INFO  UniversityPage     - PAGE: Clcik contactUs button
2026-02-05 12:22:25 INFO  FillFormTest       - TEST: fill the form
2026-02-05 12:22:25 INFO  FormPage           - PAGE: Filling the form
2026-02-05 12:22:27 INFO  FillFormTest       - TEST: Submit the form
2026-02-05 12:22:27 INFO  FormPage           - PAGE: Click submit button
2026-02-05 12:22:27 INFO  FormPage           - PAGE: Return the alert
2026-02-05 12:22:37 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-05 12:22:37 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-05 12:22:37 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-05 12:22:37 INFO  FillFormTest       - Closing the browser
2026-02-05 12:22:41 INFO  FillFormTest       - Setting up the browser
2026-02-05 12:22:46 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-05 12:22:46 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-05 12:22:53 INFO  FillFormTest       - TEST: Click contact us
2026-02-05 12:22:53 INFO  UniversityPage     - PAGE: Clcik contactUs button
2026-02-05 12:22:56 INFO  FillFormTest       - TEST: fill the form
2026-02-05 12:22:56 INFO  FormPage           - PAGE: Filling the form
2026-02-05 12:22:58 INFO  FillFormTest       - TEST: Submit the form
2026-02-05 12:22:58 INFO  FormPage           - PAGE: Click submit button
2026-02-05 12:22:59 INFO  FormPage           - PAGE: Return the alert
2026-02-05 12:22:59 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-05 12:22:59 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-05 12:22:59 INFO  FillFormTest       - Closing the browser
2026-02-05 12:23:02 INFO  FillFormTest       - Setting up the browser
2026-02-05 12:23:07 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-05 12:23:07 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-05 12:23:14 INFO  FillFormTest       - TEST: Click contact us
2026-02-05 12:23:14 INFO  UniversityPage     - PAGE: Clcik contactUs button
2026-02-05 12:23:19 INFO  FillFormTest       - TEST: fill the form
2026-02-05 12:23:19 INFO  FormPage           - PAGE: Filling the form
2026-02-05 12:23:21 INFO  FillFormTest       - TEST: Submit the form
2026-02-05 12:23:21 INFO  FormPage           - PAGE: Click submit button
2026-02-05 12:23:21 INFO  FormPage           - PAGE: Return the alert
2026-02-05 12:23:22 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-05 12:23:22 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-05 12:23:22 INFO  FillFormTest       - Closing the browser
2026-02-05 12:23:25 INFO  FillFormTest       - Setting up the browser
2026-02-05 12:23:30 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-05 12:23:30 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-05 12:23:44 INFO  FillFormTest       - TEST: Click contact us
2026-02-05 12:23:44 INFO  UniversityPage     - PAGE: Clcik contactUs button
2026-02-05 12:23:47 INFO  FillFormTest       - TEST: fill the form
2026-02-05 12:23:47 INFO  FormPage           - PAGE: Filling the form
2026-02-05 12:23:49 INFO  FillFormTest       - TEST: Submit the form
