2026-02-12 15:47:31 INFO  searchSeleniumTest - Setting up the browser: EDGE
2026-02-12 15:47:31 INFO  searchSeleniumTest - Setting up the browser: CHROME
2026-02-12 15:47:39 INFO  searchSeleniumTest - TEST: Search Selenium Java
2026-02-12 15:47:39 INFO  HomePage           - PAGE: Searching for: Selenium Java
2026-02-12 15:47:39 INFO  searchSeleniumTest - TEST: Search Selenium Java
2026-02-12 15:47:39 INFO  HomePage           - PAGE: Searching for: Selenium Java
2026-02-12 15:47:45 INFO  SearchResultPage   - PAGE: filtering based on duration of course
2026-02-12 15:47:46 INFO  SearchResultPage   - PAGE: Printing the first course title in the console
2026-02-12 15:47:46 INFO  searchSeleniumTest - Closing the browser
2026-02-12 15:47:48 INFO  SearchResultPage   - PAGE: filtering based on duration of course
2026-02-12 15:47:49 INFO  SearchResultPage   - PAGE: Printing the first course title in the console
2026-02-12 15:47:51 INFO  searchSeleniumTest - Closing the browser
2026-02-12 15:47:52 INFO  findLevelTest      - Setting up the browser: CHROME
2026-02-12 15:47:56 INFO  findLevelTest      - Setting up the browser: EDGE
2026-02-12 15:48:54 INFO  findLevelTest      - TEST: Extracting the level of the first Python course
2026-02-12 15:48:54 INFO  HomePage           - PAGE: Selecting the first python course
2026-02-12 15:48:56 INFO  findLevelTest      - TEST: Extracting the level of the first Python course
2026-02-12 15:48:56 INFO  HomePage           - PAGE: Selecting the first python course
2026-02-12 15:49:04 INFO  PythonPage         - PAGE: Switching tab after clicking first Python course
2026-02-12 15:49:04 INFO  PythonPage         - PAGE: Printing the level of the course in console
2026-02-12 15:49:10 INFO  findLevelTest      - Closing the browser
2026-02-12 15:49:10 INFO  PythonPage         - PAGE: Switching tab after clicking first Python course
2026-02-12 15:49:10 INFO  PythonPage         - PAGE: Printing the level of the course in console
2026-02-12 15:49:14 INFO  findLevelTest      - Closing the browser
2026-02-12 15:49:20 INFO  FillFormTest       - Setting up the browser: EDGE
2026-02-12 15:49:20 INFO  FillFormTest       - Setting up the browser: EDGE
2026-02-12 15:49:20 INFO  FillFormTest       - Setting up the browser: EDGE
2026-02-12 15:49:20 INFO  FillFormTest       - Setting up the browser: EDGE
2026-02-12 15:49:20 INFO  FillFormTest       - Setting up the browser: EDGE
2026-02-12 15:49:33 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:49:33 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:49:33 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:49:33 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:49:36 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:49:36 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:49:41 INFO  FillFormTest       - Setting up the browser: CHROME
2026-02-12 15:49:41 INFO  FillFormTest       - Setting up the browser: CHROME
2026-02-12 15:49:41 INFO  FillFormTest       - Setting up the browser: CHROME
2026-02-12 15:49:41 INFO  FillFormTest       - Setting up the browser: CHROME
2026-02-12 15:49:41 INFO  FillFormTest       - Setting up the browser: CHROME
2026-02-12 15:50:11 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:50:11 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:50:18 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:50:18 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:50:18 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:50:19 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:50:27 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:50:27 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:50:31 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:50:31 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:50:36 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:50:36 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:51:26 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-12 15:51:26 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-12 15:52:10 INFO  FillFormTest       - TEST: Click contact us
2026-02-12 15:52:10 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-12 15:52:10 INFO  FillFormTest       - TEST: Click contact us
2026-02-12 15:52:10 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-12 15:52:10 INFO  FillFormTest       - TEST: Click contact us
2026-02-12 15:52:10 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-12 15:52:10 INFO  FillFormTest       - TEST: Click contact us
2026-02-12 15:52:10 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-12 15:52:10 INFO  FillFormTest       - TEST: Click contact us
2026-02-12 15:52:10 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-12 15:52:37 INFO  FillFormTest       - Closing the browser
2026-02-12 15:52:40 INFO  FillFormTest       - TEST: fill the form
2026-02-12 15:52:40 INFO  FormPage           - PAGE: Filling the form
2026-02-12 15:52:42 INFO  FillFormTest       - TEST: fill the form
2026-02-12 15:52:42 INFO  FormPage           - PAGE: Filling the form
2026-02-12 15:52:50 INFO  FillFormTest       - TEST: Submit the form
2026-02-12 15:52:50 INFO  FormPage           - PAGE: Click submit button
2026-02-12 15:52:51 INFO  FormPage           - PAGE: Return the alert
2026-02-12 15:52:51 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-12 15:52:51 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-12 15:52:54 INFO  FillFormTest       - Closing the browser
2026-02-12 15:52:54 INFO  FillFormTest       - TEST: Submit the form
2026-02-12 15:52:54 INFO  FormPage           - PAGE: Click submit button
2026-02-12 15:52:56 INFO  FormPage           - PAGE: Return the alert
2026-02-12 15:53:06 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-12 15:53:06 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
2026-02-12 15:53:06 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-12 15:53:06 INFO  FillFormTest       - Closing the browser
2026-02-12 15:53:18 INFO  FillFormTest       - Closing the browser
2026-02-12 15:53:23 INFO  FillFormTest       - TEST: fill the form
2026-02-12 15:53:23 INFO  FormPage           - PAGE: Filling the form
2026-02-12 15:53:29 INFO  FillFormTest       - TEST: Submit the form
2026-02-12 15:53:29 INFO  FormPage           - PAGE: Click submit button
2026-02-12 15:53:30 INFO  FormPage           - PAGE: Return the alert
2026-02-12 15:53:30 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-12 15:53:30 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-12 15:53:30 INFO  FillFormTest       - Closing the browser
2026-02-12 15:53:32 INFO  FillFormTest       - Closing the browser
2026-02-12 15:53:35 INFO  FillFormTest       - TEST: Click contact us
2026-02-12 15:53:35 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-12 15:53:35 INFO  FillFormTest       - TEST: Click contact us
2026-02-12 15:53:35 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-12 15:53:55 INFO  FillFormTest       - TEST: fill the form
2026-02-12 15:53:55 INFO  FormPage           - PAGE: Filling the form
2026-02-12 15:53:55 INFO  FillFormTest       - Closing the browser
2026-02-12 15:53:57 INFO  FillFormTest       - TEST: fill the form
2026-02-12 15:53:57 INFO  FormPage           - PAGE: Filling the form
2026-02-12 15:53:57 INFO  FillFormTest       - TEST: fill the form
2026-02-12 15:53:57 INFO  FormPage           - PAGE: Filling the form
2026-02-12 15:53:58 INFO  FillFormTest       - TEST: fill the form
2026-02-12 15:53:58 INFO  FormPage           - PAGE: Filling the form
2026-02-12 15:54:02 INFO  FillFormTest       - Closing the browser
2026-02-12 15:54:05 INFO  FillFormTest       - TEST: Submit the form
2026-02-12 15:54:05 INFO  FormPage           - PAGE: Click submit button
2026-02-12 15:54:05 INFO  FormPage           - PAGE: Return the alert
2026-02-12 15:54:05 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-12 15:54:05 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-12 15:54:05 INFO  FillFormTest       - Closing the browser
2026-02-12 15:54:05 INFO  FillFormTest       - TEST: Submit the form
2026-02-12 15:54:05 INFO  FormPage           - PAGE: Click submit button
2026-02-12 15:54:06 INFO  FormPage           - PAGE: Return the alert
2026-02-12 15:54:17 INFO  FillFormTest       - Closing the browser
