2026-02-06 12:24:19 INFO  searchSeleniumTest - Setting up the browser
2026-02-06 12:24:19 INFO  searchSeleniumTest - Setting up the browser
2026-02-06 12:24:25 INFO  searchSeleniumTest - TEST: Search Selenium Java
2026-02-06 12:24:25 INFO  HomePage           - PAGE: Searching for: Selenium Java
2026-02-06 12:24:29 INFO  searchSeleniumTest - TEST: Search Selenium Java
2026-02-06 12:24:29 INFO  HomePage           - PAGE: Searching for: Selenium Java
2026-02-06 12:24:30 INFO  SearchResultPage   - PAGE: filtering based on duration of course
2026-02-06 12:24:31 INFO  SearchResultPage   - PAGE: Printing the first course title in the console
2026-02-06 12:24:32 INFO  searchSeleniumTest - Closing the browser
2026-02-06 12:24:34 INFO  SearchResultPage   - PAGE: filtering based on duration of course
2026-02-06 12:24:35 INFO  SearchResultPage   - PAGE: Printing the first course title in the console
2026-02-06 12:24:35 INFO  searchSeleniumTest - Closing the browser
2026-02-06 12:24:36 INFO  findLevelTest      - Setting up the browser
2026-02-06 12:24:39 INFO  findLevelTest      - Setting up the browser
2026-02-06 12:24:41 INFO  findLevelTest      - TEST: Extracting the level of the first Python course
2026-02-06 12:24:41 INFO  HomePage           - PAGE: Selecting the first python course
2026-02-06 12:24:45 INFO  PythonPage         - PAGE: Switching tab after clicking first Python course
2026-02-06 12:24:45 INFO  PythonPage         - PAGE: Printing the level of the course in console
2026-02-06 12:24:47 INFO  findLevelTest      - TEST: Extracting the level of the first Python course
2026-02-06 12:24:47 INFO  HomePage           - PAGE: Selecting the first python course
2026-02-06 12:24:50 INFO  findLevelTest      - Closing the browser
2026-02-06 12:24:54 INFO  PythonPage         - PAGE: Switching tab after clicking first Python course
2026-02-06 12:24:54 INFO  PythonPage         - PAGE: Printing the level of the course in console
2026-02-06 12:24:55 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:24:55 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:24:55 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:24:55 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:24:55 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:25:04 INFO  findLevelTest      - Closing the browser
2026-02-06 12:25:09 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:25:09 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:25:14 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:25:14 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:25:14 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:25:14 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:25:16 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:25:16 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:25:18 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:25:18 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:25:32 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:25:32 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:25:32 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:25:32 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:25:32 INFO  FillFormTest       - Setting up the browser
2026-02-06 12:25:33 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:25:33 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:25:42 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:25:42 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:25:45 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:25:45 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:25:48 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:25:48 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:25:48 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:25:48 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:25:54 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:25:54 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:25:57 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:25:57 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:26:03 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:26:03 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:26:04 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:26:04 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:26:04 INFO  FillFormTest       - TEST: write the content in resultMessage into the excel sheet
2026-02-06 12:26:04 INFO  FillFormTest       - Closing the browser
2026-02-06 12:26:06 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:26:06 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:26:06 INFO  FillFormTest       - TEST: Navigate to universities
2026-02-06 12:26:06 INFO  HomePage           - PAGE: Navigating to forUniversities page
2026-02-06 12:26:06 INFO  FillFormTest       - TEST: Submit the form
2026-02-06 12:26:06 INFO  FormPage           - PAGE: Click submit button
2026-02-06 12:26:06 INFO  FormPage           - PAGE: Return the alert
2026-02-06 12:26:08 INFO  FillFormTest       - TEST: fill the form
2026-02-06 12:26:08 INFO  FormPage           - PAGE: Filling the form
2026-02-06 12:26:08 INFO  FillFormTest       - TEST: Click contact us
2026-02-06 12:26:08 INFO  UniversityPage     - PAGE: Click contactUs button
2026-02-06 12:26:16 INFO  FillFormTest       - TEST: If the test is negative, check if the alert is present and resultMessage will be 'PASS'
2026-02-06 12:26:16 INFO  FillFormTest       - TEST: If the test is positive, if the alert is not present, resultMessage will be 'PASS'
